,Planar,Macroscopic
0,0.14555564845033991,0.7661133614377351
1,0.7377170397874931,0.5378699492448746
2,1.0693232415956873,0.27314845111745956
3,1.3775536144417422,-0.015981957886445096
4,1.667605344984463,-0.31276110380199396
5,1.9807759022875,-0.6002012878511374
6,2.352034274296666,-0.8628360397550623
7,2.8266162174047658,-1.08339287781511
8,3.407751667808797,-1.2440638436053384
9,4.058070372854788,-1.3334151064520054
10,4.6145453749691105,-1.348934740334634
11,4.992686639020063,-1.3009651474636656
12,5.252753703285664,-1.212090709709351
13,5.34799455616606,-1.088723328765788
14,5.2762008355088765,-0.9374719815251928
15,5.0385702861839174,-0.7677223385050532
16,4.430520450344957,-0.5924885234114604
17,3.282834547065907,-0.42496199471479135
18,1.6840619258446505,-0.27684020386050096
19,-0.19004306760345857,-0.15697701239920223
20,-2.110662086322608,-0.07091592267865345
21,-3.9104752611898452,-0.019838794510273924
22,-5.428164761516758,0.6643235304065562
23,-6.655059278586197,0.7803962134709953
24,-7.468984292886141,0.8851752479341445
25,-7.710287864118085,0.9807861023412624
26,-7.371167262653438,1.0639910266990389
27,-6.517358797588775,1.1267845518208683
28,-5.273980424297143,1.1563767937476506
29,-3.786687947704147,1.141195604010105
30,-2.247393639408699,1.0726351657144633
31,-0.8729069584391081,0.947216671302386
